sample_no,printer_type,material,layer_thickness_mm,infill_density_pct,infill_pattern,speed_mm_s,roughness_avg_um,hardness_avg,peak_load_n,peak_stress_kpa,strain_at_break,modulus_mpa,width_mm,thickness_mm,roughness_valid
223,closed,PETG,0.3,50,zigzag,30,7.508333333333333,74.5,797.2003333333333,34231.93333333333,,2272.781,6.616666666666667,3.52,True
224,closed,PETG,0.3,50,zigzag,50,8.068,74.1,854.9499999999999,36822.26666666667,,2351.602,6.596666666666667,3.52,True
225,closed,PETG,0.3,50,zigzag,70,8.213,71.7,899.177,37422.96666666667,,2359.569333333333,6.68,3.596666666666666,True
226,closed,PETG,0.3,80,grid,30,7.992999999999999,72.5,928.0463333333333,38425.3,0.01866666666666666,2447.623666666667,6.66,3.626666666666667,True
227,closed,PETG,0.3,80,grid,50,7.467333333333333,73.9,925.0459999999999,39410.73333333333,0.019,2468.307333333334,6.643333333333334,3.533333333333333,True
228,closed,PETG,0.3,80,grid,70,7.814666666666667,71.5,909.953,38836.9,0.019,2436.891,6.563333333333333,3.57,True
229,closed,PETG,0.3,80,triangles,30,7.284999999999999,72.8,928.8196666666666,38166.4,0.01766666666666667,2489.476666666667,6.686666666666667,3.64,True
230,closed,PETG,0.3,80,triangles,50,3.443,69.9,950.8269999999999,38734.63333333333,0.01866666666666666,2456.339666666667,6.646666666666666,3.693333333333333,True
231,closed,PETG,0.3,80,triangles,70,1.7623333333333333,71.5,970.157,39287.1,0.019,2483.243333333333,6.716666666666666,3.676666666666667,True
232,closed,PETG,0.3,80,zigzag,30,3.4939999999999998,73.8,958.386,40303.1,0.018,2542.909333333333,6.73,3.533333333333333,True
233,closed,PETG,0.3,80,zigzag,50,5.0169999999999995,72.4,927.4536666666667,40238.2,0.02,2374.124666666667,6.363333333333333,3.62,True
234,closed,PETG,0.3,80,zigzag,70,7.135666666666666,69.8,946.632,40384.33333333334,0.019,2443.450666666667,6.350000000000001,3.693333333333333,True
235,closed,PLA phosphorus,0.1,20,grid,30,4.136333333333334,74.4,516.9353333333333,23238.33333333333,0.01733333333333334,1611.331,6.43,3.46,True
236,closed,PLA phosphorus,0.1,20,triangles,50,3.1646666666666667,60.4,532.9809999999999,24526.56666666667,0.01433333333333333,2001.244333333333,6.373333333333332,3.41,True
237,closed,PLA phosphorus,0.1,20,zigzag,70,3.6186666666666665,60.5,549.1179999999999,24948.16666666667,0.01566666666666667,1909.136666666667,6.423333333333333,3.426666666666667,True
238,closed,PLA phosphorus,0.1,50,grid,50,3.4873333333333334,78.7,602.5646666666667,27770.43333333333,0.01566666666666667,2143.593333333334,6.406666666666666,3.386666666666667,True
239,closed,PLA phosphorus,0.1,50,triangles,70,2.5656666666666665,75.7,597.7573333333333,26677.76666666667,0.01333333333333333,2218.251,6.526666666666666,3.433333333333334,True
240,closed,PLA phosphorus,0.1,50,zigzag,30,2.3043333333333336,78.5,616.6283333333334,27897.86666666667,0.015,2169.423,6.5,3.4,True
241,closed,PLA phosphorus,0.1,80,grid,70,3.3706666666666667,79.8,747.7353333333334,33069.83333333334,0.01333333333333333,2829.232333333333,6.489999999999999,3.486666666666667,True
242,closed,PLA phosphorus,0.1,80,triangles,70,3.3826666666666667,81.0,719.692,32557.96666666667,0.012,3087.248,6.426666666666667,3.44,True
243,closed,PLA phosphorus,0.1,80,zigzag,50,2.9920000000000004,80.9,854.8663333333334,39251.8,0.014,3409.422,6.393333333333334,3.406666666666666,True
244,closed,PLA phosphorus,0.2,20,grid,50,5.0313333333333325,79.5,670.7379999999999,30314.36666666667,0.014,2502.324,6.413333333333334,3.45,True
245,closed,PLA phosphorus,0.2,20,triangles,70,5.4430000000000005,76.9,664.1976666666667,29844.26666666667,0.014,2517.163333333333,6.383333333333333,3.486666666666667,True
246,closed,PP,0.1,20,zigzag,30,6.173000000000001,18.7,120.4953333333333,5893.266666666666,,495.2866666666667,5.963333333333334,3.43,True
247,closed,PP,0.1,50,triangles,50,4.723,25.0,139.8523333333333,6784.900000000001,,577.9403333333333,6.033333333333334,3.413333333333334,True
248,closed,PP,0.1,80,grid,70,4.2860000000000005,36.9,140.794,6825.0,,560.4603333333333,6.026666666666666,3.423333333333333,True
249,closed,PP,0.2,20,triangles,70,4.084666666666667,33.6,127.9966666666667,6145.099999999999,,512.1766666666666,5.993333333333333,3.476666666666667,True
250,closed,PP,0.2,50,grid,30,5.367333333333334,36.2,134.009,6621.033333333333,,548.3686666666666,5.953333333333333,3.4,True
251,closed,PP,0.2,80,zigzag,50,5.037,43.7,141.3,6906.433333333333,,570.1663333333332,5.936666666666667,3.446666666666667,True
252,closed,PP,0.3,20,grid,50,4.4013333333333335,32.1,141.5216666666667,6778.133333333334,,596.2883333333333,5.926666666666667,3.523333333333333,True
253,closed,PP,0.3,50,zigzag,70,8.105333333333332,35.4,146.8,6945.0,,546.4803333333333,5.973333333333334,3.54,True
254,closed,PP,0.3,80,triangles,30,9.605333333333334,36.9,156.0966666666667,7425.400000000001,,579.5936666666666,6.0,3.503333333333333,True
255,closed,TPU,0.1,20,grid,30,1.7926666666666666,12.5,284.2173333333333,15074.2,3.422,24.525,6.143333333333334,3.67,True
256,closed,TPU,0.1,20,triangles,50,1.832,14.2,316.539,14203.36666666667,2.899666666666667,26.06066666666667,6.143333333333334,3.63,True
257,closed,TPU,0.1,20,zigzag,70,1.6166666666666665,13.4,298.6736666666666,13860.23333333333,2.860333333333333,30.45133333333333,6.046666666666667,3.566666666666666,True
258,closed,TPU,0.1,50,grid,50,1.8549999999999998,12.5,305.144,14379.83333333333,3.020666666666667,27.269,5.933333333333334,3.576666666666667,True
